Distributor,Supplier,ProductName,Category,Standard,Internal_ID_Reference_Number,UCLA,UCD_H,UCB,UCR,UCM,UCSC,OG,CH,FT,RAC,AGA,AWA,GAP,AHC,MBA,WWF,MSC,OWR,SSB,SFSC,SP,BFC,BBC,FAC,SPP,EFI,MWD,BAP
Aramark,Health Ade,KOMBUCHA Health Ade Pink Lady,Kombucha,USDA Organic,40988,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Aramark,Health Ade,Pomegranate Kombucha,Kombucha,USDA Organic,40989,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Americone Dream Pint (pt),Frozen Dessert,FT,339,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Cheesecake Strawberry Pint (pt),Frozen Dessert,FT,340,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Cherry Garcia Pint (pt),Frozen Dessert,FT,341,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Chocolate Chip Cookie Dough Pint (pt),Frozen Dessert,FT,342,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Chocolate Fudge Brownie Pint (pt),Frozen Dessert,FT,343,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Chocolate Fudge Brownie Pint (pt) Vegan (VGN),Frozen Dessert,FT,345,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Chocolate Therapy Pint (pt),Frozen Dessert,FT,344,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Chubby Hubby Pint (pt),Frozen Dessert,FT,346,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Chunky Monkey Pint (pt),Frozen Dessert,FT,347,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Coffee Toffee Bar Crunch Pint (pt),Frozen Dessert,FT,348,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Core Boom Pint (pt),Frozen Dessert,FT,349,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Core PB Fudge Pint (pt),Frozen Dessert,FT,350,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Core Salted Caramel Pint (pt),Frozen Dessert,FT,351,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Everything But The.. Pint (pt),Frozen Dessert,FT,352,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream FroYo Cherry Garcia Pint (pt),Frozen Dessert,FT,353,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ben & Jerrys,Wonder Ice Cream LLC,Ben & Jerrys (B&J) Ice Cream Half Baked Pint (pt),Frozen Dessert,FT,354,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
